scenario,version,total_ops,successes,failures,retries,total_latency_ms,data_loss,bandwidth_used_kb,recovery_time_ms
stable,baseline,1000,1000,0,18,39982.88682473786,0,144744.21425651843,0.0
stable,proposed,1000,1000,0,15,39822.50879411353,0,144322.18974738853,0.0
high_latency,baseline,1000,1000,0,50,605460.5130731971,0,107293.74687978937,0.0
high_latency,proposed,1000,1000,0,60,604264.5962860271,0,107389.2439909425,0.0
intermittent,baseline,1000,990,10,269,77895.58297817159,10,75635.10489979696,0.0
intermittent,proposed,1000,997,3,183,76216.68812105272,3,82755.15255761986,1.2364387512207031
complete_drop,baseline,1000,0,1000,3000,0.0,1000,0.0,0.0
complete_drop,proposed,0,0,0,0,0.0,0,0.0,0.0
mobile_fluctuation,baseline,1000,989,11,442,79700.53932189947,11,66168.34970339514,0.0
mobile_fluctuation,proposed,1000,984,16,346,75492.71231497728,16,74009.4348915269,15.12765884399414
